22,rank22,101200,9200,DRRANK_22,DRRANK_22,rank_22,110400,;,;,;,;,;,23,23,;,DRRANK_22
23,rank23,110400,9600,DRRANK_23,DRRANK_23,rank_23,120000,;,;,;,;,;,24,24,;,DRRANK_23
24,rank24,120000,10000,DRRANK_24,DRRANK_24,rank_24,130000,;,;,;,;,;,25,25,;,DRRANK_24
25,rank25,130000,10400,DRRANK_25,DRRANK_25,rank_25,140400,;,;,;,;,;,26,26,;,DRRANK_25
26,rank26,140400,10800,DRRANK_26,DRRANK_26,rank_26,151200,;,;,;,;,;,27,27,;,DRRANK_26
27,rank27,151200,11200,DRRANK_27,DRRANK_27,rank_27,162400,;,;,;,;,;,28,28,;,DRRANK_27
28,rank28,162400,11600,DRRANK_28,DRRANK_28,rank_28,174000,;,;,;,;,;,29,29,;,DRRANK_28
29,rank29,174000,12000,DRRANK_29,DRRANK_29,rank_29,186000,;,;,;,;,;,30,30,;,DRRANK_29
30,rank30,186000,12100,DRRANK_30,DRRANK_30,rank_30,198100,;,;,;,;,;,31,31,;,DRRANK_30
31,rank31,198100,12200,DRRANK_31,DRRANK_31,rank_31,210300,;,;,;,;,;,32,32,;,DRRANK_31
32,rank32,210300,12300,DRRANK_32,DRRANK_32,rank_32,222600,;,;,;,;,;,33,33,;,DRRANK_32
33,rank33,222600,12400,DRRANK_33,DRRANK_33,rank_33,235000,;,;,;,;,;,34,34,;,DRRANK_33
34,rank34,235000,12500,DRRANK_34,DRRANK_34,rank_34,247500,;,;,;,;,;,35,35,;,DRRANK_34
35,rank35,247500,12600,DRRANK_35,DRRANK_35,rank_35,260100,;,;,;,;,;,36,36,;,DRRANK_35
36,rank36,260100,12700,DRRANK_36,DRRANK_36,rank_36,272800,;,;,;,;,;,37,37,;,DRRANK_36
37,rank37,272800,12800,DRRANK_37,DRRANK_37,rank_37,285600,;,;,;,;,;,38,38,;,DRRANK_37
38,rank38,285600,12900,DRRANK_38,DRRANK_38,rank_38,298500,;,;,;,;,;,39,39,;,DRRANK_38
39,rank39,298500,13000,DRRANK_39,DRRANK_39,rank_39,320500,;,;,;,;,;,40,40,;,DRRANK_39
40,rank40,320500,13100,DRRANK_40,DRRANK_40,rank_40,333600,;,;,;,;,;,41,41,;,DRRANK_40
41,rank41,333600,13200,DRRANK_41,DRRANK_41,rank_41,346800,;,;,;,;,;,42,42,;,DRRANK_41
42,rank42,346800,13300,DRRANK_42,DRRANK_42,rank_42,360100,;,;,;,;,;,43,43,;,DRRANK_42
43,rank43,360100,13400,DRRANK_43,DRRANK_43,rank_43,373500,;,;,;,;,;,44,44,;,DRRANK_43
44,rank44,373500,13500,DRRANK_44,DRRANK_44,rank_44,387000,;,;,;,;,;,45,45,;,DRRANK_44
45,rank45,387000,13600,DRRANK_45,DRRANK_45,rank_45,400600,;,;,;,;,;,46,46,;,DRRANK_45
46,rank46,400600,13700,DRRANK_46,DRRANK_46,rank_46,414300,;,;,;,;,;,47,47,;,DRRANK_46
47,rank47,414300,13800,DRRANK_47,DRRANK_47,rank_47,428100,;,;,;,;,;,48,48,;,DRRANK_47
48,rank48,428100,13900,DRRANK_48,DRRANK_48,rank_48,442000,;,;,;,;,;,49,49,;,DRRANK_48
49,rank49,442000,14000,DRRANK_49,DRRANK_49,rank_49,456000,;,;,;,;,;,50,50,;,DRRANK_49
maxrank,49
